,power,time,day,acc,pvalue
0,5,1,5,0.49803790412486065,0.44554455445544555
1,5,1,6,0.511401895206243,0.37623762376237624
2,5,1,7,0.4867015050167224,0.6732673267326733
3,5,1,8,0.5427285395763657,0.1188118811881188
4,5,2,5,0.50292502787068,0.4158415841584158
5,5,2,6,0.5123745819397993,0.33663366336633666
6,5,2,7,0.5293924191750279,0.22772277227722773
7,5,2,8,0.5098369565217391,0.4158415841584158
8,5,30,5,0.5289046822742476,0.1485148514851485
9,5,30,6,0.5150431995540692,0.3465346534653465
10,5,30,7,0.5226100891861762,0.2079207920792079
11,5,30,8,0.49393952062430324,0.6138613861386139
